Date	Time	Open	High	Low	Close	TickVol	Vol	Spread
2024.12.06	21:00:00	101360	101449.99	100290.9	100372.01	0	0	0
2024.12.06	22:00:00	100372.01	100707.37	100357.68	100504	0	0	0
2024.12.06	23:00:00	100504	100573.99	99053.03	99740.84	0	0	0
2024.12.07	00:00:00	99740.84	100406.15	99529.41	100272.01	0	0	0
2024.12.07	01:00:00	100272.01	100428	99824.62	100044.31	0	0	0
2024.12.07	02:00:00	100044.31	100169.42	99868	99930.01	0	0	0
2024.12.07	03:00:00	99930.01	99930.01	99285.71	99299.63	0	0	0
2024.12.07	04:00:00	99299.64	99666.31	99025.01	99494.57	0	0	0
2024.12.07	05:00:00	99494.58	99643.96	98844	99155.98	0	0	0
2024.12.07	06:00:00	99155.99	99393.6	99060.12	99336.27	0	0	0
2024.12.07	07:00:00	99336.28	99494.19	99108	99405.2	0	0	0
2024.12.07	08:00:00	99405.2	99561.44	99260	99414.76	0	0	0
2024.12.07	09:00:00	99414.76	99821.83	99414.75	99676.48	0	0	0
2024.12.07	10:00:00	99676.48	99708.43	99440	99529.5	0	0	0
2024.12.07	11:00:00	99529.5	99750	99421.53	99620	0	0	0
2024.12.07	12:00:00	99620	99703.55	99364	99426.87	0	0	0
2024.12.07	13:00:00	99426.88	99518.75	99304	99350	0	0	0
2024.12.07	14:00:00	99350	99779.34	99036.01	99465.3	0	0	0
2024.12.07	15:00:00	99465.3	99800	99336	99756.01	0	0	0
2024.12.07	16:00:00	99756	99799.99	99476.62	99621.56	0	0	0
2024.12.07	17:00:00	99621.57	99717.8	99460.37	99631.97	0	0	0
2024.12.07	18:00:00	99631.98	100263.64	99582.35	100123.32	0	0	0
2024.12.07	19:00:00	100123.32	100262.35	99920.31	100077.45	0	0	0
2024.12.07	20:00:00	100077.45	100380.72	100077.45	100313.57	0	0	0
2024.12.07	21:00:00	100313.57	100439.18	99700	99869.8	0	0	0
2024.12.07	22:00:00	99869.81	100046.92	99595.11	99595.11	0	0	0
2024.12.07	23:00:00	99595.12	100259	99595.11	99831.99	0	0	0
2024.12.08	00:00:00	99831.99	99978.38	99632.28	99978.38	0	0	0
2024.12.08	01:00:00	99978.38	100128	99669.01	99848.36	0	0	0
2024.12.08	02:00:00	99848.35	100328.88	99750.17	100146.9	0	0	0
2024.12.08	03:00:00	100146.91	100260	99912	99934.82	0	0	0
2024.12.08	04:00:00	99934.83	100030	99694.66	99756.01	0	0	0
2024.12.08	05:00:00	99756	99783.56	99370	99534.26	0	0	0
2024.12.08	06:00:00	99534.26	99803.32	99336	99675.96	0	0	0
2024.12.08	07:00:00	99675.97	99863.35	99632.61	99675.11	0	0	0
2024.12.08	08:00:00	99675.11	99687.85	98964	98980.01	0	0	0
2024.12.08	09:00:00	98980.02	99300	98657.7	98884.02	0	0	0
2024.12.08	10:00:00	98884.03	99409.02	98876	99249.22	0	0	0
2024.12.08	11:00:00	99249.21	99844.28	99124.01	99701.16	0	0	0
2024.12.08	12:00:00	99701.17	100200	99452	99922.48	0	0	0
2024.12.08	13:00:00	99922.49	100500	99803.8	100408.8	0	0	0
2024.12.08	14:00:00	100408.79	100426.1	99724.75	99726.73	0	0	0
